,X,X.1,RespondentID,StartDate,EndDate,Age,Ethnic,Sex,MilitaryServiceName,MilitaryRankShortName,CountryName,CurricNumber,CurricShortName,SchoolName,Site,DegreeLevel,Q1,Q2,Q3a,Q3b,Q3c,Q4a,Q4b,Q4c,Q4d,Q4e,Q4f,Q4g,Q4h,Q4i,Q4j,Q4k,Q4l,Q4m,Q5a,Q5b,Q5c,Q6a,Q6b,Q6c,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q9a,Q9b,Q9c,Q9d,Q10a,Q10b,Q10c,Q10d,Q10e,Q10f,Q11a,Q11b,Q11c,Q11d,Q11e,Q11f,Q11g,Q11h,Q11i,Q12a,Q12b,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q14a,Q14b,Q14c,Q14d,Q15a,Q15b,Q15c,Q15d,Q15e,Q16,Q17,Q18a,Q18b,Q18c,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,Q19h,Q19i,Q19j,Q20a,Q20b,Q20c,Q20d,Q20e,Q20f,Q20g,Q20h,Q20i,Q20j,Q21,Q22a,Q22b,Q22c,Q23,Q24a,Q24b,Q24c,Q25,Q26,Q27a,Q27b,Q27c,Q27d,Q28a,Q28b,Q28c,Q28d,Q28e,Q29,Q30,Q31a,Q31b,Q31c,Q31d,Q32,Q33,Q34,Q35,Q36,Q37,Q38,AgeGroup
1,1,1,3088785568,2/24/14 15:28,2/24/14 15:38,30,White,M,USN,LT,United States of America,525,Undersea Warfare,Graduate School of Engineering and Applied Sciences,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,1,1,1,LL,TR,ICR,Somewhat Well,Somewhat Well,NA,Somewhat Well,NA,Somewhat Well,Somewhat Well,Somewhat Well,Very Well,Very Well,Somewhat Well,Very Well,NA,Not Select,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Not Select,Not Select,Selcet,Not Select,1,2,1,2,0,1,2,2,First,Second,Fourth,Third,First,Third,Second,Fourth,Fifth,F,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,Prof Web Site,NA,NA,Prof H Drive,NA,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,No,Selcet,Selcet,Selcet,Never,Selcet,Selcet,Selcet,No,NA,Not Select,Selcet,Not Select,Not Select,1,1,1,1,1,Most,No,0,1,0,0,0,1,1,0,0,Intermediate,4,20-30
2,2,2,3088022121,2/24/14 3:52,2/24/14 4:19,43,Hispanic/Latinos,M,Air Force,Lt. Col.,El Salvador,685,Civil-Military Relations,School of International Graduate Studies,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,2,1,1,T,SL,TR,Very Well,Somewhat Well,Very Well,Somewhat Well,Somewhat Well,Somewhat Well,Very Well,Very Well,Somewhat Well,Very Well,Somewhat Well,Somewhat Well,Very Well,Not Select,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,2,2,0,1,1,2,1,1,First,Second,Fourth,Third,First,Second,Third,Fourth,Fifth,F,Yes,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper Copy,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Never,Selcet,Selcet,Selcet,No,NA,Not Select,Selcet,Selcet,Selcet,1,2,1,1,1,Some,Yes,1,1,-1,-1,-1,1,1,1,-1,Intermediate,1,41+
3,3,3,3087871977,2/24/14 0:56,2/24/14 1:16,45,White,M,NA,NA,United States of America,692,Homeland Defense and Security,School of International Graduate Studies,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,1,2,1,LL,T,ICR,Very Well,Somewhat Well,NA,NA,Somewhat Well,Somewhat Well,Very Well,Somewhat Well,Somewhat Well,Very Well,Very Well,Somewhat Well,Somewhat Well,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,2,2,0,1,2,2,2,1,Fourth,First,Second,Third,Second,Fourth,Third,First,Fifth,SE,NA,Selcet,Selcet,Selcet,Email,NA,NA,NA,Wiki Page,NA,NA,NA,NA,NA,Email,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Selcet,Selcet,Selcet,Often,Selcet,Selcet,Not Select,No,NA,Selcet,Selcet,Not Select,Not Select,2,2,1,1,2,All,Yes,-1,1,-1,-1,-2,-1,1,-2,0,Intermediate,3,41+
4,4,4,3087114068,2/23/14 3:23,2/23/14 18:04,36,Black/African American,M,USN,LT,United States of America,834,Management (Financial) (Mixed-Mode),Graduate School of Business and Public Policy,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,No,No,No,No,No,No,No,No,No,No,No,No,No,1,1,1,LL,TR,T,Very Little,Somewhat Well,Somewhat Well,Somewhat Well,Very Little,Very Little,Somewhat Well,Very Well,Very Well,Very Well,Somewhat Well,Very Well,Very Well,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,1,1,2,2,0,0,0,0,NA,Third,First,Second,Fifth,Fourth,Second,Third,First,F,Yes,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper Copy,NA,SAKAI,NA,NA,NA,NA,Drop Box,NA,NA,Paper copy,Yes,Selcet,Selcet,Selcet,Never,Selcet,Selcet,Selcet,Yes,IH,Selcet,Selcet,Selcet,Selcet,1,1,1,-1,-1,Some,Yes,-1,1,-1,-1,1,1,1,1,0,Basic,4,36-40
5,5,5,3087033664,2/23/14 0:45,2/23/14 1:01,34,White,M,USN,LT,United States of America,837,Financial Management,Graduate School of Business and Public Policy,NPS,Master,Yes,No,Select,Not Select,Select,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,2,2,2,SL,SL,SL,Very Well,Somewhat Well,Very Well,Very Little,Not At All,Very Little,Very Well,Somewhat Well,Very Well,Very Well,Very Well,Very Well,Not At All,Not Select,Not Select,Not Select,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Not Select,Selcet,Selcet,Selcet,2,2,-2,1,2,2,2,2,Fourth,First,Third,Second,Third,Fourth,Fifth,First,Second,SE,NA,Selcet,Selcet,Selcet,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Sometimes,Selcet,Selcet,Selcet,Yes,NA,Not Select,Selcet,Selcet,Not Select,2,2,2,-2,0,Most,No,-2,-2,-2,-2,-2,-2,2,-2,-1,Basic,1,31-35
6,6,6,3086972388,2/22/14 23:02,2/22/14 23:03,53,Black/African American,F,NA,NA,United States of America,692,Homeland Defense and Security,School of International Graduate Studies,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Selcet,Selcet,Selcet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Selcet,Selcet,Selcet,NA,Selcet,Selcet,Selcet,NA,NA,Selcet,Selcet,Selcet,Selcet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41+
7,7,7,3086733801,2/22/14 17:47,2/22/14 18:24,36,White,M,USN,LCDR,United States of America,366,Space Systems Operations,Graduate School of Engineering and Applied Sciences,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,2,-2,2,LL,T,SL,Not At All,Very Well,Somewhat Well,Very Little,Very Little,Very Little,Very Little,Very Little,Very Well,Somewhat Well,Not At All,Somewhat Well,Very Well,Not Select,Selcet,Selcet,Selcet,Selcet,Not Select,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Not Select,Selcet,1,1,2,2,1,1,0,1,Fourth,Third,First,Second,Third,Fifth,First,Second,Fourth,E,Yes,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper Copy,Email,NA,NA,NA,NA,NA,NA,NA,NA,Paper copy,No,Selcet,Selcet,Selcet,Often,Selcet,Selcet,Selcet,Yes,NA,Selcet,Selcet,Selcet,Not Select,2,2,2,0,-2,Most,No,2,2,2,2,2,2,-2,2,2,Advanced,6,36-40
8,8,8,3086004145,2/21/14 23:13,2/21/14 23:27,33,Hispanic/Latinos,M,USA,MAJ,United States of America,699,Special Operations,Graduate School of Operational and Information Sciences,NPS,Master,Yes,No,Select,Not Select,Not Select,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,0,1,1,LL,ICR,TR,Somewhat Well,Very Little,Somewhat Well,Very Little,Very Little,Very Little,Somewhat Well,Somewhat Well,Very Little,Very Well,Very Well,Very Well,Not At All,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,1,1,-2,1,0,0,1,0,Fourth,First,Third,Second,First,Fifth,Fourth,Second,Third,F,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,Drop Box,Google Drive,NA,Paper Copy,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Never,Selcet,Selcet,Selcet,No,NA,Selcet,Selcet,Selcet,Selcet,2,2,1,0,-1,Some,Yes,1,-2,0,2,-2,-2,-2,-2,0,Intermediate,5,31-35
9,9,9,3085511157,2/21/14 18:46,2/21/14 19:05,34,Unknown,M,Navy,LCDR,Korea,440,Oceanography,Graduate School of Engineering and Applied Sciences,NPS,Master,NA,Yes,Not Select,Not Select,Not Select,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,2,0,0,ICR,ICR,TR,Somewhat Well,Very Well,Somewhat Well,Very Well,Very Little,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Very Well,Somewhat Well,Very Well,Very Well,Not Select,Selcet,Selcet,Selcet,Not Select,Not Select,Not Select,Not Select,Selcet,Not Select,Selcet,Not Select,Not Select,Not Select,Not Select,Not Select,Not Select,Selcet,Not Select,1,1,1,1,1,1,1,1,Third,Fourth,First,Second,Third,Fourth,Fifth,First,Second,F,Yes,Selcet,Selcet,Selcet,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper Copy,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper copy,Yes,Selcet,Selcet,Selcet,Rarely,Selcet,Selcet,Not Select,Yes,NA,Not Select,Selcet,Selcet,Not Select,1,1,1,-1,0,Some,No,-1,1,0,0,0,0,1,1,0,Intermediate,2,31-35
10,10,10,3085435343,2/21/14 18:14,2/21/14 18:26,114,Unknown,M,Army,CPT,Mauritius,699,Special Operations,Graduate School of Operational and Information Sciences,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,No,Yes,NA,No,No,No,No,No,No,No,No,No,No,2,1,0,ICR,SL,NA,Very Well,Very Well,Somewhat Well,Somewhat Well,Very Well,Very Little,Somewhat Well,Somewhat Well,Somewhat Well,Very Well,Somewhat Well,Somewhat Well,Somewhat Well,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,1,2,2,1,0,0,0,0,First,Second,NA,NA,Second,Third,Fourth,Fifth,First,F,NA,Selcet,Selcet,Selcet,Email,NA,NA,NA,NA,NA,NA,NA,NA,NA,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Rarely,Selcet,Selcet,Not Select,No,NA,Not Select,Selcet,Selcet,Selcet,2,2,2,1,2,Some,No,0,1,0,1,0,1,1,-1,1,Basic,3,Unknown
