Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,N/A,Question,Subtable,SubQuestion
24,43,180,284,359,28,All Responses,,Q5a
0,8,33,47,77,4,GSBPP,School,Q5a
7,9,38,78,94,8,GSEAS,School,Q5a
7,16,51,101,135,6,GSOIS,School,Q5a
1,1,3,8,8,2,Provost,School,Q5a
9,9,55,50,45,6,SIGS,School,Q5a
7,15,41,76,63,4,20-30,Age Group,Q5a
13,10,55,91,112,10,30-35,Age Group,Q5a
1,9,47,72,97,3,35-40,Age Group,Q5a
3,7,25,28,49,4,41+,Age Group,Q5a
0,2,12,17,38,5,Unknown,Age Group,Q5a
1,3,11,19,26,21,No Rating,Tech Rating,Q5a
0,0,1,2,4,0,Not Like Computers,Tech Rating,Q5a
2,9,25,42,38,1,Basic,Tech Rating,Q5a
11,13,84,125,174,3,Intermediate,Tech Rating,Q5a
9,14,46,74,89,1,Advanced,Tech Rating,Q5a
1,4,13,22,28,0,Expert,Tech Rating,Q5a
21,38,267,296,261,35,All Responses,,Q5b
3,13,49,55,45,4,GSBPP,School,Q5b
6,8,95,58,55,12,GSEAS,School,Q5b
4,8,75,122,98,9,GSOIS,School,Q5b
1,1,4,11,4,2,Provost,School,Q5b
7,8,44,50,59,6,SIGS,School,Q5b
4,12,83,55,48,4,20-30,Age Group,Q5b
8,9,77,99,88,10,30-35,Age Group,Q5b
5,11,67,77,62,7,35-40,Age Group,Q5b
4,4,23,41,38,6,41+,Age Group,Q5b
0,2,17,24,25,6,Unknown,Age Group,Q5b
1,4,23,18,14,21,No Rating,Tech Rating,Q5b
0,0,2,2,3,0,Not Like Computers,Tech Rating,Q5b
2,4,41,36,33,1,Basic,Tech Rating,Q5b
10,19,103,144,130,4,Intermediate,Tech Rating,Q5b
8,9,77,68,64,7,Advanced,Tech Rating,Q5b
0,2,21,28,17,0,Expert,Tech Rating,Q5b
31,58,260,251,280,38,All Responses,,Q5c
2,10,33,50,70,4,GSBPP,School,Q5c
15,12,83,58,55,11,GSEAS,School,Q5c
4,24,81,87,110,10,GSOIS,School,Q5c
1,0,6,3,11,2,Provost,School,Q5c
9,12,57,53,34,9,SIGS,School,Q5c
9,21,68,50,51,7,20-30,Age Group,Q5c
11,16,84,80,87,13,30-35,Age Group,Q5c
5,17,57,74,71,5,35-40,Age Group,Q5c
6,4,29,27,44,6,41+,Age Group,Q5c
0,0,22,20,27,5,Unknown,Age Group,Q5c
1,5,19,13,19,24,No Rating,Tech Rating,Q5c
13,13,59,70,74,4,Not Like Computers,Tech Rating,Q5c
2,11,36,39,27,2,Basic,Tech Rating,Q5c
0,7,27,15,18,1,Intermediate,Tech Rating,Q5c
0,2,2,0,3,0,Advanced,Tech Rating,Q5c
15,20,117,114,139,5,Expert,Tech Rating,Q5c
14,44,84,469,237,70,All Responses,,Q12a
3,7,10,73,64,12,GSBPP,School,Q12a
3,12,24,125,50,20,GSEAS,School,Q12a
6,18,30,168,72,22,GSOIS,School,Q12a
0,0,4,14,2,3,Provost,School,Q12a
2,7,16,89,49,11,SIGS,School,Q12a
4,8,21,107,50,16,20-30,Age Group,Q12a
4,19,24,145,75,24,30-35,Age Group,Q12a
4,9,30,124,49,13,35-40,Age Group,Q12a
2,5,7,57,37,8,41+,Age Group,Q12a
0,3,2,36,26,7,Unknown,Age Group,Q12a
0,0,4,10,4,63,No Rating,Tech Rating,Q12a
0,0,0,4,3,0,Not Like Computers,Tech Rating,Q12a
0,5,11,59,41,1,Basic,Tech Rating,Q12a
5,15,42,228,117,3,Intermediate,Tech Rating,Q12a
6,18,21,129,58,1,Advanced,Tech Rating,Q12a
3,6,6,39,14,0,Expert,Tech Rating,Q12a
10,57,90,410,277,74,All Responses,,Q12b
0,11,16,75,55,12,GSBPP,School,Q12b
2,12,15,107,78,20,GSEAS,School,Q12b
5,19,33,148,89,22,GSOIS,School,Q12b
0,1,2,11,4,5,Provost,School,Q12b
3,14,24,69,51,13,SIGS,School,Q12b
1,14,20,96,59,16,20-30,Age Group,Q12b
4,21,21,133,87,25,30-35,Age Group,Q12b
5,14,34,101,60,15,35-40,Age Group,Q12b
0,6,13,46,42,9,41+,Age Group,Q12b
0,2,2,34,29,7,Unknown,Age Group,Q12b
0,0,5,9,4,63,No Rating,Tech Rating,Q12b
0,0,1,2,4,0,Not Like Computers,Tech Rating,Q12b
0,5,14,52,45,1,Basic,Tech Rating,Q12b
2,27,47,200,127,7,Intermediate,Tech Rating,Q12b
7,15,15,116,79,1,Advanced,Tech Rating,Q12b
1,10,8,31,18,0,Expert,Tech Rating,Q12b
62,113,180,257,210,96,All Responses,,Q13a
15,17,48,18,42,29,GSBPP,School,Q13a
18,25,66,32,46,47,GSEAS,School,Q13a
21,32,78,39,84,62,GSOIS,School,Q13a
2,3,7,2,3,6,Provost,School,Q13a
6,17,58,22,35,36,SIGS,School,Q13a
23,22,58,26,32,45,20-30,Age Group,Q13a
21,31,86,35,57,61,30-35,Age Group,Q13a
11,23,59,27,65,44,35-40,Age Group,Q13a
5,10,30,16,34,21,41+,Age Group,Q13a
2,9,9,24,22,8,Unknown,Age Group,Q13a
2,64,5,2,3,5,No Rating,Tech Rating,Q13a
1,0,2,0,3,1,Not Like Computers,Tech Rating,Q13a
5,8,42,12,24,26,Basic,Tech Rating,Q13a
30,14,125,48,106,87,Intermediate,Tech Rating,Q13a
18,7,65,40,55,48,Advanced,Tech Rating,Q13a
6,1,18,11,19,13,Expert,Tech Rating,Q13a
26,64,129,276,334,89,All Responses,,Q13b
5,10,22,54,61,17,GSBPP,School,Q13b
10,20,38,59,86,21,GSEAS,School,Q13b
6,22,42,94,123,29,GSOIS,School,Q13b
0,5,4,7,3,4,Provost,School,Q13b
5,7,23,62,61,16,SIGS,School,Q13b
7,17,27,72,63,20,20-30,Age Group,Q13b
10,17,44,95,94,31,30-35,Age Group,Q13b
6,18,36,63,86,20,35-40,Age Group,Q13b
2,8,16,25,56,9,41+,Age Group,Q13b
1,4,6,21,35,7,Unknown,Age Group,Q13b
2,2,3,4,6,64,No Rating,Tech Rating,Q13b
1,0,1,1,4,0,Not Like Computers,Tech Rating,Q13b
1,6,17,46,42,5,Basic,Tech Rating,Q13b
11,29,67,133,159,11,Intermediate,Tech Rating,Q13b
9,19,30,75,93,7,Advanced,Tech Rating,Q13b
2,8,11,17,30,0,Expert,Tech Rating,Q13b
41,59,243,301,172,102,All Responses,,Q13c
7,6,45,57,34,20,GSBPP,School,Q13c
14,16,65,68,46,25,GSEAS,School,Q13c
10,22,78,103,70,33,GSOIS,School,Q13c
0,4,7,7,2,3,Provost,School,Q13c
10,11,48,66,20,19,SIGS,School,Q13c
12,16,60,71,23,24,20-30,Age Group,Q13c
12,24,76,95,53,31,30-35,Age Group,Q13c
13,15,66,72,38,25,35-40,Age Group,Q13c
4,4,23,40,32,13,41+,Age Group,Q13c
0,0,18,23,26,7,Unknown,Age Group,Q13c
1,1,4,7,4,64,No Rating,Tech Rating,Q13c
1,1,4,0,1,0,Not Like Computers,Tech Rating,Q13c
1,5,45,38,19,9,Basic,Tech Rating,Q13c
18,26,115,154,80,17,Intermediate,Tech Rating,Q13c
16,19,53,80,57,8,Advanced,Tech Rating,Q13c
4,7,22,22,11,2,Expert,Tech Rating,Q13c
41,51,212,286,229,99,All Responses,,Q13d
7,6,43,53,40,20,GSBPP,School,Q13d
12,14,48,75,61,24,GSEAS,School,Q13d
11,21,68,95,91,30,GSOIS,School,Q13d
0,3,8,5,3,4,Provost,School,Q13d
11,7,45,58,34,19,SIGS,School,Q13d
10,9,55,63,44,25,20-30,Age Group,Q13d
16,24,65,96,59,31,30-35,Age Group,Q13d
10,14,57,72,55,21,35-40,Age Group,Q13d
5,2,25,34,38,12,41+,Age Group,Q13d
0,2,10,21,33,8,Unknown,Age Group,Q13d
1,1,4,6,5,64,No Rating,Tech Rating,Q13d
1,0,2,1,3,0,Not Like Computers,Tech Rating,Q13d
1,5,44,39,22,6,Basic,Tech Rating,Q13d
22,21,101,131,114,21,Intermediate,Tech Rating,Q13d
12,17,41,89,69,5,Advanced,Tech Rating,Q13d
4,7,20,20,16,1,Expert,Tech Rating,Q13d
37,54,244,285,204,94,All Responses,,Q13e
4,11,42,52,43,17,GSBPP,School,Q13e
11,18,77,70,35,23,GSEAS,School,Q13e
14,14,73,109,76,30,GSOIS,School,Q13e
1,2,9,4,4,3,Provost,School,Q13e
7,9,43,50,46,19,SIGS,School,Q13e
