RespondentID,StartDate,EndDate,Age,AgeGroup,Ethnic,Sex,MilitaryServiceName,MilitaryRankShortName,CountryName,CurricNumber,CurricShortName,SchoolName,Site,DegreeLevel,Q1,Q2,Q3a,Q3b,Q3c,Q4a,Q4b,Q4c,Q4d,Q4e,Q4f,Q4g,Q4h,Q4i,Q4j,Q4k,Q4l,Q4m,Q5a,Q5b,Q5c,Q6a,Q6b,Q6c,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q9a,Q9b,Q9c,Q9d,Q10a,Q10b,Q10c,Q10d,Q10e,Q10f,Q11a,Q11b,Q11c,Q11d,Q11e,Q11f,Q11g,Q11h,Q11i,Q12a,Q12b,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q14a,Q14b,Q14c,Q14d,Q15a,Q15b,Q15c,Q15d,Q15e,Q16,Q17,Q18a,Q18b,Q18c,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,Q19h,Q19i,Q19j,Q20a,Q20b,Q20c,Q20d,Q20e,Q20f,Q20g,Q20h,Q20i,Q20j,Q21,Q22a,Q22b,Q22c,Q23,Q24a,Q24b,Q24c,Q25,Q26,Q27a,Q27b,Q27c,Q27d,Q28a,Q28b,Q28c,Q28d,Q28e,Q29,Q30,Q31a,Q31b,Q31c,Q31d,Q32,Q33,Q34,Q35,Q36,Q37,Q38
3088785568,2/24/14 15:28,2/24/14 15:38,30,20-30,White,M,USN,LT,United States of America,525,Undersea Warfare,Graduate School of Engineering and Applied Sciences,NPS,Master,Yes,Yes,,,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Somewhat Agree,Somewhat Agree,Somewhat Agree,Large Lecture Hall,Technology-Enhanced Active Learning (TEAL) Classroom with Circular Tables,Innovative Customizable Classroom,Somewhat Well,Somewhat Well,N/A,Somewhat Well,N/A,Somewhat Well,Somewhat Well,Somewhat Well,Very Well,Very Well,Somewhat Well,Very Well,N/A,The ability to record classroom lectures,,The ability to project individual student laptops or other mobile device to screens throughout the classroom,,,,,Electronic typed or handwritten real-time notes (such as written on a tablet and projected to the front of classroom),,,,,,,Professor-led group discussion,Student-led group discussion,"In-class professor-led practical exercises (programming labs, physical labs, etc.)",,Peer mentoring (stronger students help teach weaker students),Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Neither Agree or Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,1,2,4,3,1,3,2,4,5,Frequently,N/A,,,,Email,SAKAI,,,,Professor's Web Site,,,Professor's H:drive,,,SAKAI,,,,,,,,,No,,,,Sometimes,,,,No,,"Smartphone (examples include: iPhone, Android device)",,"Tablet (examples include: iPad, Windows Surface, Kindle, etc)",Laptop Computer,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Most of my classes are with the same students.,No,Neither Agree or Disagree,Somewhat Agree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Somewhat Agree,Somewhat Agree,Neither Agree or Disagree,Neither Agree or Disagree,Intermediate ( I am proficient in the technologies I own),4
3088022121,2/24/14 3:52,2/24/14 4:19,43,41+,Hispanic/Latinos,M,Air Force,Lt. Col.,El Salvador,685,Civil-Military Relations,School of International Graduate Studies,NPS,Master,Yes,Yes,,,,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Strongly Agree,Somewhat Agree,Somewhat Agree,Traditional Style Classroom,Small Lecture Hall with Stadium Seating,Technology-Enhanced Active Learning (TEAL) Classroom with Circular Tables,Very Well,Somewhat Well,Very Well,Somewhat Well,Somewhat Well,Somewhat Well,Very Well,Very Well,Somewhat Well,Very Well,Somewhat Well,Somewhat Well,Very Well,The ability to record classroom lectures,,The ability to project individual student laptops or other mobile device to screens throughout the classroom,,,,,,Video Tele-Conference (VTC),,,,,,,,,,Peer mentoring (stronger students help teach weaker students),Strongly Agree,Strongly Agree,Neither Agree or Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,1,2,4,3,1,2,3,4,5,Frequently,Yes,,,,Email,SAKAI,,,,,,,,A physical paper copy,Email,SAKAI,,,,,,,,,Yes,,,,Sometimes,,,,No,,"Smartphone (examples include: iPhone, Android device)",,,Laptop Computer,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Some of my classes are with the same students.,Yes,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Intermediate ( I am proficient in the technologies I own),1
3087871977,2/24/14 0:56,2/24/14 1:16,45,41+,White,M,,,United States of America,692,Homeland Defense and Security,School of International Graduate Studies,NPS,Master,Yes,Yes,,,,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Somewhat Agree,Strongly Agree,Somewhat Agree,Large Lecture Hall,Traditional Style Classroom,Innovative Customizable Classroom,Very Well,Somewhat Well,N/A,N/A,Somewhat Well,Somewhat Well,Very Well,Somewhat Well,Somewhat Well,Very Well,Very Well,Somewhat Well,Somewhat Well,,The ability to electronically write on whiteboards,,,,,Electronic Whiteboard (smart-board),,,,,,,,,,,,,Strongly Agree,Strongly Agree,Neither Agree or Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,4,1,2,3,2,4,3,1,5,Seldom,N/A,,,,Email,,,,Wiki page,,,,,,Email,,,,,,,,,,N/A,,,,Never,,,I didn't know I had a personal drive,No,,,,"Tablet (examples include: iPad, Windows Surface, Kindle, etc)",Laptop Computer,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,All of my classes are with the same students.,Yes,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Neither Agree or Disagree,Intermediate ( I am proficient in the technologies I own),3
3087114068,2/23/14 3:23,2/23/14 18:04,36,36-40,Black/African American,M,USN,LT,United States of America,834,Management (Financial) (Mixed-Mode),Graduate School of Business and Public Policy,NPS,Master,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,Somewhat Agree,Somewhat Agree,Somewhat Agree,Large Lecture Hall,Technology-Enhanced Active Learning (TEAL) Classroom with Circular Tables,Traditional Style Classroom,Very Little,Somewhat Well,Somewhat Well,Somewhat Well,Very Little,Very Little,Somewhat Well,Very Well,Very Well,Very Well,Somewhat Well,Very Well,Very Well,The ability to record classroom lectures,,,The ability to video teleconference in the classroom,,,,,,,,,,,,,,Previously recorded lectures prepared by professor,,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,N/A,3,1,2,5,4,2,3,1,Frequently,Yes,,,,Email,SAKAI,,,,,,,,A physical paper copy,,SAKAI,,,,,Drop Box,,,A physical paper copy,Yes,,,,Sometimes,,,,Yes,Ingersoll Hall,,,,Laptop Computer,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Some of my classes are with the same students.,Yes,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree or Disagree,"Basic ( user of email, social media and basic software)",4
3087033664,2/23/14 0:45,2/23/14 1:01,34,31-35,White,M,USN,LT,United States of America,837,Financial Management,Graduate School of Business and Public Policy,NPS,Master,Yes,No,Lack of rooms and spaces to collaborate,,Facilities are not adequate for collaboration,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Strongly Agree,Strongly Agree,Strongly Agree,Small Lecture Hall with Stadium Seating,Small Lecture Hall with Stadium Seating,Small Lecture Hall with Stadium Seating,Very Well,Somewhat Well,Very Well,Very Little,Not At All,Very Little,Very Well,Somewhat Well,Very Well,Very Well,Very Well,Very Well,Not At All,The ability to record classroom lectures,The ability to electronically write on whiteboards,The ability to project individual student laptops or other mobile device to screens throughout the classroom,,,,Electronic Whiteboard (smart-board),,,,,,,,Professor-led group discussion,Student-led group discussion,,,,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,4,1,3,2,3,4,5,1,2,Seldom,N/A,,,,,SAKAI,,,,,,,,,,SAKAI,,,,,,,,,Yes,,,,Often,,,,Yes,,"Smartphone (examples include: iPhone, Android device)",,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neither Agree or Disagree,Most of my classes are with the same students.,No,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,"Basic ( user of email, social media and basic software)",1
3086972388,2/22/14 23:02,2/22/14 23:03,53,41+,Black/African American,F,,,United States of America,692,Homeland Defense and Security,School of International Graduate Studies,NPS,Master,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3086733801,2/22/14 17:47,2/22/14 18:24,36,36-40,White,M,USN,LCDR,United States of America,366,Space Systems Operations,Graduate School of Engineering and Applied Sciences,NPS,Master,Yes,Yes,,,,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Strongly Agree,Strongly Disagree,Strongly Agree,Large Lecture Hall,Traditional Style Classroom,Small Lecture Hall with Stadium Seating,Not At All,Very Well,Somewhat Well,Very Little,Very Little,Very Little,Very Little,Very Little,Very Well,Somewhat Well,Not At All,Somewhat Well,Very Well,The ability to record classroom lectures,,,,,Chalkboard/Whiteboard,Electronic Whiteboard (smart-board),,,,,,,Lecture accompanied by chalkboard/whiteboard notes,,,,Previously recorded lectures prepared by professor,,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Neither Agree or Disagree,Somewhat Agree,4,3,1,2,3,5,1,2,4,Every time,Yes,,,,Email,SAKAI,,,,,,,,A physical paper copy,Email,,,,,,,,,A physical paper copy,No,,,,Never,,,,Yes,,,,,Laptop Computer,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree or Disagree,Strongly Disagree,Most of my classes are with the same students.,No,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Advanced ( I use coding enough to know I am not a programmer),6
3086004145,2/21/14 23:13,2/21/14 23:27,33,31-35,Hispanic/Latinos,M,USA,MAJ,United States of America,699,Special Operations,Graduate School of Operational and Information Sciences,NPS,Master,Yes,No,Lack of rooms and spaces to collaborate,,,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Neither Agree or Disagree,Somewhat Agree,Somewhat Agree,Large Lecture Hall,Innovative Customizable Classroom,Technology-Enhanced Active Learning (TEAL) Classroom with Circular Tables,Somewhat Well,Very Little,Somewhat Well,Very Little,Very Little,Very Little,Somewhat Well,Somewhat Well,Very Little,Very Well,Very Well,Very Well,Not At All,The ability to record classroom lectures,,,,,,,,Video Tele-Conference (VTC),,,,,,,,,,Peer mentoring (stronger students help teach weaker students),Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Neither Agree or Disagree,Neither Agree or Disagree,Somewhat Agree,Neither Agree or Disagree,4,1,3,2,1,5,4,2,3,Frequently,N/A,,,,Email,SAKAI,,,,,Drop Box,Google Drive,,A physical paper copy,Email,SAKAI,,,,,,,,,Yes,,,,Sometimes,,,,No,,,,,Laptop Computer,Strongly Agree,Strongly Agree,Somewhat Agree,Neither Agree or Disagree,Somewhat Disagree,Some of my classes are with the same students.,Yes,Somewhat Agree,Strongly Disagree,Neither Agree or Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree or Disagree,Intermediate ( I am proficient in the technologies I own),5
3085511157,2/21/14 18:46,2/21/14 19:05,34,31-35,Unknown,M,Navy,LCDR,Korea,440,Oceanography,Graduate School of Engineering and Applied Sciences,NPS,Master,,Yes,,,,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Strongly Agree,Neither Agree or Disagree,Neither Agree or Disagree,Innovative Customizable Classroom,Innovative Customizable Classroom,Technology-Enhanced Active Learning (TEAL) Classroom with Circular Tables,Somewhat Well,Very Well,Somewhat Well,Very Well,Very Little,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Very Well,Somewhat Well,Very Well,Very Well,The ability to record classroom lectures,,,,PowerPoint,Chalkboard/Whiteboard,Electronic Whiteboard (smart-board),Electronic typed or handwritten real-time notes (such as written on a tablet and projected to the front of classroom),,Printed materials,,Lecture accompanied by PowerPoint presentation,Lecture accompanied by printed notes,Lecture accompanied by chalkboard/whiteboard notes,Professor-led group discussion,Student-led group discussion,"In-class professor-led practical exercises (programming labs, physical labs, etc.)",,Peer mentoring (stronger students help teach weaker students),Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,3,4,1,2,3,4,5,1,2,Frequently,Yes,,,,,SAKAI,,,,,,,,A physical paper copy,Email,SAKAI,,,,,,,,A physical paper copy,Yes,,,,Rarely,,,I didn't know I had a personal drive,Yes,Spanagel Hall,"Smartphone (examples include: iPhone, Android device)",,,,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neither Agree or Disagree,Some of my classes are with the same students.,No,Somewhat Disagree,Somewhat Agree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Somewhat Agree,Somewhat Agree,Neither Agree or Disagree,Intermediate ( I am proficient in the technologies I own),2
3085435343,2/21/14 18:14,2/21/14 18:26,114,Unknown,Unknown,M,Army,CPT,Mauritius,699,Special Operations,Graduate School of Operational and Information Sciences,NPS,Master,Yes,Yes,,,,No,Yes,,No,No,No,No,No,No,No,No,No,No,Strongly Agree,Somewhat Agree,Neither Agree or Disagree,Innovative Customizable Classroom,Small Lecture Hall with Stadium Seating,,Very Well,Very Well,Somewhat Well,Somewhat Well,Very Well,Very Little,Somewhat Well,Somewhat Well,Somewhat Well,Very Well,Somewhat Well,Somewhat Well,Somewhat Well,The ability to record classroom lectures,,,,,,,,,,,,,,,,,,,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,1,2,N/A,N/A,2,3,4,5,1,Frequently,N/A,,,,Email,,,,,,,,,,Email,SAKAI,,,,,,,,,Yes,,,,Rarely,,,I didn't know I had a personal drive,No,,"Smartphone (examples include: iPhone, Android device)",,,,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Some of my classes are with the same students.,No,Neither Agree or Disagree,Somewhat Agree,Neither Agree or Disagree,Somewhat Agree,Neither Agree or Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,"Basic ( user of email, social media and basic software)",3
